1.449155,0,0,0,-0,0,0
2.670346,0,0,0,-0,0,0
2.966818,0,0,0,0,0,0
3.169539,72,-4.80000019073486,-12.4137935638428,3123.3681640625,6144.11279296875,545.686096191406
3.76195,115.199996948242,-48,-33.1034469604492,5835.1494140625,11476.57421875,5707.12841796875
3.924876,4.80000019073486,0,0,-80.3688049316406,544.256591796875,0
4.242833,105.599998474121,0,-57.5999984741211,822.454345703125,14423.9716796875,2934.67407226562
4.39403,-9.60000038146973,0,0,575.839050292969,-1338.369140625,-0
4.545801,0,0,4.80000019073486,-298.278564453125,-128.33561706543,-353.496643066406
4.825301,0,-4.80000019073486,28.7999992370605,-1875.09326171875,-806.766845703125,-1282.49267578125
4.975997,0,0,8.2758617401123,-581.09716796875,-264.576324462891,-526.520935058594
5.12715,24,-14.3999996185303,33.5999984741211,-3704.25146484375,1610.21411132812,-97.6170654296875
5.277025,16.5517234802246,-16.5517234802246,52.7999992370605,-4748.8818359375,-465.726440429688,-679.924072265625
5.423709,19.2000007629395,-9.60000038146973,41.3793106079102,-4155.71484375,-103.647827148438,-724.505004882812
5.919579,24,-4.80000019073486,33.5999984741211,-3887.3134765625,248.7841796875,-697.435852050781
6.114253,0,0,0,-0,0,0
6.371616,72,0,62.0689659118652,-8388.623046875,-481.029052734375,-1051.134765625
6.577636,0,0,4.80000019073486,-316.705169677734,-354.713531494141,-65.3923873901367
6.749059,4.13793087005615,0,0,-235.437255859375,210.209609985352,0
6.898706,0,0,0,-0,0,0
7.048327,4.80000019073486,0,0,-273.107238769531,243.843170166016,0
